date,ta
2020-12-29,-1000000
2020-12-30,-4000000
2020-12-31,-20000000
2021-01-05,-1100000
2021-01-08,14000000
2021-01-29,-2500000
2021-02-01,-5300000
2021-02-22,-7900000
2021-03-15,-25000000
2021-03-22,-11000000
2021-04-20,-8100000
2021-04-23,-200000
2021-05-04,-6300000
2021-05-05,-100000
2021-05-17,-4000000
2021-05-20,-10000000
2021-06-22,-12000000
2021-07-29,-10000000
2021-08-20,-6000000
2021-09-23,1500000
2021-10-08,1000000
2021-10-25,550000
2021-11-15,-1900000
2021-11-23,2200000
2021-11-24,-1150000
2021-11-25,100000
2021-12-08,61421
2021-12-24,2300000
2022-01-24,3224000
2022-01-28,-10121
2022-02-07,-552000
2022-02-28,3498036
2022-03-16,80000
2022-03-28,5561413
2022-04-08,796662
2022-04-18,50000
2022-04-26,4200000
2022-05-05,220000
2022-05-06,-850000
2022-05-26,4200000
2022-06-07,-6500000
2022-06-28,4524000