date,tl
2021-04-01,-4200000
2021-04-14,-100000
2021-04-15,-3000000
2021-04-16,-2100000
2021-05-04,-20000000
2021-05-07,-20000000
2021-05-11,-20000000
2021-05-31,-20000000
2021-06-02,-20000000
2021-06-01,-20000000
2021-10-06,-20000000
2021-10-07,-30000000
2021-10-08,-20000000
2021-10-22,-20000000
2021-10-28,-20000000
2021-10-29,-20000000
2021-11-04,-40000000
2021-11-15,-20000000
2021-11-16,-20000000
2021-12-01,30000000
2021-12-02,-30000000
2022-01-05,289
2022-01-28,1434000
2022-03-04,1193867
2022-03-08,-30000000
2022-03-14,600000
2022-03-16,300000
2022-03-21,200000
2022-03-29,-60000000
2022-05-06,-30000000
2022-06-07,-20000000
2022-06-27,4524000